account_number,customer_name,account_type,branch,ifsc,currency,statement_start,statement_end,source_file
920000000102,Divya Siva,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0102_Divya_Siva_Statement.pdf
920000000103,Geetha Babu,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0103_Geetha_Babu_Statement.pdf
920000000104,Shankar Ganesh,Burgundy Savings,Coimbatore - Town Hall,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0104_Shankar_Ganesh_Statement.pdf
920000000105,Karthikeyan Bala,Prime Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0105_Karthikeyan_Bala_Statement.pdf
920000000106,Lavanya Prakash,Prime Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0106_Lavanya_Prakash_Statement.pdf
920000000107,Ravi Murugan,Easy Access Savings,Coimbatore - Gandhipuram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0107_Ravi_Murugan_Statement.pdf
920000000108,Durga Ganesh,Easy Access Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0108_Durga_Ganesh_Statement.pdf
920000000109,Aishwarya Shankar,Prime Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0109_Aishwarya_Shankar_Statement.pdf
920000000110,Harini Prakash,Easy Access Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0110_Harini_Prakash_Statement.pdf
920000000111,Meena Pandi,Prime Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0111_Meena_Pandi_Statement.pdf
920000000112,Iyappan Balaji,Easy Access Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0112_Iyappan_Balaji_Statement.pdf
920000000113,Kamala Senthil,Burgundy Savings,Coimbatore - Hopes College,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0113_Kamala_Senthil_Statement.pdf
920000000114,Radha Ramesh,Easy Access Savings,Coimbatore - Race Course,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0114_Radha_Ramesh_Statement.pdf
920000000115,Ezhilarasi Velu,Easy Access Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0115_Ezhilarasi_Velu_Statement.pdf
920000000116,Prasad Nandha,Burgundy Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0116_Prasad_Nandha_Statement.pdf
920000000117,Anitha Prakash,Burgundy Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0117_Anitha_Prakash_Statement.pdf
920000000118,Zafar Ramesh,Burgundy Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0118_Zafar_Ramesh_Statement.pdf
920000000119,Faisal Thiru,Easy Access Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0119_Faisal_Thiru_Statement.pdf
920000000120,Subramanian Swamy,Prime Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0120_Subramanian_Swamy_Statement.pdf
920000000121,Geetha Pandi,Prime Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0121_Geetha_Pandi_Statement.pdf
920000000122,Velu Thiru,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0122_Velu_Thiru_Statement.pdf
920000000123,Karthik Perumal,Easy Access Savings,Coimbatore - Thudiyalur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0123_Karthik_Perumal_Statement.pdf
920000000124,Prabhu Mani,Easy Access Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0124_Prabhu_Mani_Statement.pdf
920000000125,Kumar Gopal,Easy Access Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0125_Kumar_Gopal_Statement.pdf
920000000126,Bharath Pandian,Easy Access Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0126_Bharath_Pandian_Statement.pdf
920000000127,Aarti Mohan,Prime Savings,Coimbatore - Saravanampatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0127_Aarti_Mohan_Statement.pdf
920000000128,Geetha Surya,Easy Access Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0128_Geetha_Surya_Statement.pdf
920000000129,Radha Babu,Prime Savings,Coimbatore - Town Hall,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0129_Radha_Babu_Statement.pdf
920000000130,Chitra Arun,Prime Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0130_Chitra_Arun_Statement.pdf
920000000131,Yamuna Gopal,Easy Access Savings,Coimbatore - Mettupalayam Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0131_Yamuna_Gopal_Statement.pdf
920000000132,Raghavan Surya,Easy Access Savings,Coimbatore - Singanallur,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0132_Raghavan_Surya_Statement.pdf
920000000133,Fathima Chandra,Prime Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0133_Fathima_Chandra_Statement.pdf
920000000134,Karthik Nathan,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0134_Karthik_Nathan_Statement.pdf
920000000135,Yuvaraj Chandra,Prime Savings,Coimbatore - Gandhipuram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0135_Yuvaraj_Chandra_Statement.pdf
920000000136,Ganesan Pandi,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0136_Ganesan_Pandi_Statement.pdf
920000000137,Gopal Karthik,Prime Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0137_Gopal_Karthik_Statement.pdf
920000000138,Sanjay Ganesh,Burgundy Savings,Coimbatore - Saibaba Colony,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0138_Sanjay_Ganesh_Statement.pdf
920000000139,Karthik Pandian,Prime Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0139_Karthik_Pandian_Statement.pdf
920000000140,Malathi Muthu,Easy Access Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0140_Malathi_Muthu_Statement.pdf
920000000141,Kumar Swamy,Easy Access Savings,Coimbatore - Avinashi Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0141_Kumar_Swamy_Statement.pdf
920000000142,Lakshmi Kumar,Prime Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0142_Lakshmi_Kumar_Statement.pdf
920000000143,Selvam Murugan,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0143_Selvam_Murugan_Statement.pdf
920000000144,Jayanthi Selvam,Prime Savings,Coimbatore - Saibaba Colony,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0144_Jayanthi_Selvam_Statement.pdf
920000000145,Vijayalakshmi Mani,Burgundy Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0145_Vijayalakshmi_Mani_Statement.pdf
920000000146,Pandian Subbu,Prime Savings,Coimbatore - Ukkadam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0146_Pandian_Subbu_Statement.pdf
920000000147,Vijayalakshmi Kannan,Easy Access Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0147_Vijayalakshmi_Kannan_Statement.pdf
920000000148,Senthil Bala,Easy Access Savings,Coimbatore - Ganapathy,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0148_Senthil_Bala_Statement.pdf
920000000149,Loganathan Nathan,Burgundy Savings,Coimbatore - Gandhipuram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0149_Loganathan_Nathan_Statement.pdf
920000000150,Yazhini Sundaram,Prime Savings,Coimbatore - Hopes College,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0150_Yazhini_Sundaram_Statement.pdf
920000000151,Charumathi Senthil,Prime Savings,Coimbatore - Kalapatti,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0151_Charumathi_Senthil_Statement.pdf
920000000152,Jagan Durai,Burgundy Savings,Coimbatore - Hopes College,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0152_Jagan_Durai_Statement.pdf
920000000153,Divya Durai,Easy Access Savings,Coimbatore - Sungam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0153_Divya_Durai_Statement.pdf
920000000154,Gokul Sundaram,Prime Savings,Coimbatore - Peelamedu,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0154_Gokul_Sundaram_Statement.pdf
920000000155,Krishna Perumal,Easy Access Savings,Coimbatore - Saibaba Colony,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0155_Krishna_Perumal_Statement.pdf
920000000156,Ilayaraja Palani,Easy Access Savings,Coimbatore - Vadavalli,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0156_Ilayaraja_Palani_Statement.pdf
920000000157,Parvathi Gopal,Prime Savings,Coimbatore - RS Puram,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0157_Parvathi_Gopal_Statement.pdf
920000000158,Gokul Babu,Easy Access Savings,Coimbatore - Ukkadam,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0158_Gokul_Babu_Statement.pdf
920000000159,Bala Raman,Burgundy Savings,Coimbatore - Trichy Road,UTIB0001385,INR,01-Jan-2021,23-Jan-2026,0159_Bala_Raman_Statement.pdf
